Code;Bezeichnung;Kategorie-Code;Kategorie-Verwendungstext;Kategorie-Freitext;Berechnungsformel;Formel (Prüfzeit)
01410U;Besuch ;K137;Kennzeichnung von durch Fachärzte sowie Kinderärzte abgerechneten Besuchen gemäß Beschluss des Erweiterten Bewertungsausschusses in seiner 85. Sitzung am 20. Mai 2025 (Teil A, Protokollnotiz Nr. 3);;;
01410W;Besuch ;K137;Kennzeichnung von durch Fachärzte sowie Kinderärzte abgerechneten Besuchen gemäß Beschluss des Erweiterten Bewertungsausschusses in seiner 85. Sitzung am 20. Mai 2025 (Teil A, Protokollnotiz Nr. 3);;;
01411E;Dringender Besuch I ;K137;Kennzeichnung von durch Fachärzte sowie Kinderärzte abgerechneten Besuchen gemäß Beschluss des Erweiterten Bewertungsausschusses in seiner 85. Sitzung am 20. Mai 2025 (Teil A, Protokollnotiz Nr. 3);;;
01411L;Dringender Besuch I ;K102;Kennzeichnung für die Berechnung im Zusammenhang mit der Versorgung gemäß den Leistungen des Abschnitts 37.5 (KSVPsych-RL) oder des Abschnitts 37.6 (KJ-KSVPsych-RL);;;
01411R;Dringender Besuch I ;K137;Kennzeichnung von durch Fachärzte sowie Kinderärzte abgerechneten Besuchen gemäß Beschluss des Erweiterten Bewertungsausschusses in seiner 85. Sitzung am 20. Mai 2025 (Teil A, Protokollnotiz Nr. 3);;;
01411S;Dringender Besuch I ;K137;Kennzeichnung von durch Fachärzte sowie Kinderärzte abgerechneten Besuchen gemäß Beschluss des Erweiterten Bewertungsausschusses in seiner 85. Sitzung am 20. Mai 2025 (Teil A, Protokollnotiz Nr. 3);;;
01411U;Dringender Besuch I ;K137;Kennzeichnung von durch Fachärzte sowie Kinderärzte abgerechneten Besuchen gemäß Beschluss des Erweiterten Bewertungsausschusses in seiner 85. Sitzung am 20. Mai 2025 (Teil A, Protokollnotiz Nr. 3);;;
01411W;Dringender Besuch I ;K137;Kennzeichnung von durch Fachärzte sowie Kinderärzte abgerechneten Besuchen gemäß Beschluss des Erweiterten Bewertungsausschusses in seiner 85. Sitzung am 20. Mai 2025 (Teil A, Protokollnotiz Nr. 3);;;
01412E;Dringender Besuch II ;K137;Kennzeichnung von durch Fachärzte sowie Kinderärzte abgerechneten Besuchen gemäß Beschluss des Erweiterten Bewertungsausschusses in seiner 85. Sitzung am 20. Mai 2025 (Teil A, Protokollnotiz Nr. 3);;;
01412L;Dringender Besuch II ;K102;Kennzeichnung für die Berechnung im Zusammenhang mit der Versorgung gemäß den Leistungen des Abschnitts 37.5 (KSVPsych-RL) oder des Abschnitts 37.6 (KJ-KSVPsych-RL);;;
