Code;Bezeichnung;Kategorie-Code;Kategorie-Verwendungstext;Kategorie-Freitext;Berechnungsformel;Formel (Prüfzeit)
13548H;Zuschlag TSS-Terminvermittlung oder Hausarztvermittlungsfall ;K77.11;Zuschlag in Höhe von 40% für TSS-Terminfall und/oder Hausarztvermittlungsfall vom 15. bis 35. Kalendertag gemäß 4.3.10.1 oder 4.3.10.3 der Allgemeinen Bestimmungen i.V.m. Abschlag gemäß 4.3.1 der Allgemeinen Bestimmungen, wenn ausschließlich Arzt-Patienten-Kontakte im Rahmen einer Videosprechstunde stattfinden;;Punktezahl der Basis-GOP x Faktor 0,3;
13551I;Elektrostimulation des Herzens ;K10;Leistungsberechnung (Nebeneinanderberechnung Abschnitte 4.4, 4.5, 13.3) durch Vertragsärzte, die Tätigkeit unter mehreren SP ausüben;;Punktezahl der Basis-GOP x Faktor 0,9;Prüfzeit der Basis-GOP x Faktor 0,9
13552I;Externe elektrische Kardioversion ;K10;Leistungsberechnung (Nebeneinanderberechnung Abschnitte 4.4, 4.5, 13.3) durch Vertragsärzte, die Tätigkeit unter mehreren SP ausüben;;Punktezahl der Basis-GOP x Faktor 0,9;Prüfzeit der Basis-GOP x Faktor 0,9
13560I;Ergospirometrie ;K10;Leistungsberechnung (Nebeneinanderberechnung Abschnitte 4.4, 4.5, 13.3) durch Vertragsärzte, die Tätigkeit unter mehreren SP ausüben;;Punktezahl der Basis-GOP x Faktor 0,9;Prüfzeit der Basis-GOP x Faktor 0,9
13561I;Zusatzpauschale Behandlung eines Herz-Transplantatträgers ;K10;Leistungsberechnung (Nebeneinanderberechnung Abschnitte 4.4, 4.5, 13.3) durch Vertragsärzte, die Tätigkeit unter mehreren SP ausüben;;Punktezahl der Basis-GOP x Faktor 0,9;Prüfzeit der Basis-GOP x Faktor 0,9
13571I;Funktionsanalyse Herzschrittmacher ;K10;Leistungsberechnung (Nebeneinanderberechnung Abschnitte 4.4, 4.5, 13.3) durch Vertragsärzte, die Tätigkeit unter mehreren SP ausüben;;Punktezahl der Basis-GOP x Faktor 0,9;Prüfzeit der Basis-GOP x Faktor 0,9
13571J;Funktionsanalyse Herzschrittmacher ;K65;Leistungskennz. zur Funktionsanalyse von kardiologischen Aggregaten nach den GOP 04411, 04413, 04414, 04415, 04416, 13571, 13573, 13574, 13575, 13576 bei Versicherten, bei denen gleichzeitig eine Strahlentherapie durchgeführt wird;;;
13571K;Funktionsanalyse Herzschrittmacher ;K48;Leistungsberechnung (Nebeneinanderberechnung Abschnitte 4.4, 4.5, 13.3) durch Vertragsärzte, die Tätigkeit unter mehreren SP ausüben sowie Kennzeichung bei gleichzeitig durchgeführter Strahlentherapie;;Punktezahl der Basis-GOP x Faktor 0,9;Prüfzeit der Basis-GOP x Faktor 0,9
13573I;Funktionsanalyse Defibrillator/Kardioverter ;K10;Leistungsberechnung (Nebeneinanderberechnung Abschnitte 4.4, 4.5, 13.3) durch Vertragsärzte, die Tätigkeit unter mehreren SP ausüben;;Punktezahl der Basis-GOP x Faktor 0,9;Prüfzeit der Basis-GOP x Faktor 0,9
13573J;Funktionsanalyse Defibrillator/Kardioverter ;K65;Leistungskennz. zur Funktionsanalyse von kardiologischen Aggregaten nach den GOP 04411, 04413, 04414, 04415, 04416, 13571, 13573, 13574, 13575, 13576 bei Versicherten, bei denen gleichzeitig eine Strahlentherapie durchgeführt wird;;;
13573K;Funktionsanalyse Defibrillator/Kardioverter ;K48;Leistungsberechnung (Nebeneinanderberechnung Abschnitte 4.4, 4.5, 13.3) durch Vertragsärzte, die Tätigkeit unter mehreren SP ausüben sowie Kennzeichung bei gleichzeitig durchgeführter Strahlentherapie;;Punktezahl der Basis-GOP x Faktor 0,9;Prüfzeit der Basis-GOP x Faktor 0,9
13574I;Telemedizinische Kontrolle Defibrillator/Kardioverter ;K10;Leistungsberechnung (Nebeneinanderberechnung Abschnitte 4.4, 4.5, 13.3) durch Vertragsärzte, die Tätigkeit unter mehreren SP ausüben;;Punktezahl der Basis-GOP x Faktor 0,9;Prüfzeit der Basis-GOP x Faktor 0,9
13574J;Telemedizinische Kontrolle Defibrillator/Kardioverter ;K65;Leistungskennz. zur Funktionsanalyse von kardiologischen Aggregaten nach den GOP 04411, 04413, 04414, 04415, 04416, 13571, 13573, 13574, 13575, 13576 bei Versicherten, bei denen gleichzeitig eine Strahlentherapie durchgeführt wird;;;
13574K;Telemedizinische Kontrolle Defibrillator/Kardioverter ;K48;Leistungsberechnung (Nebeneinanderberechnung Abschnitte 4.4, 4.5, 13.3) durch Vertragsärzte, die Tätigkeit unter mehreren SP ausüben sowie Kennzeichung bei gleichzeitig durchgeführter Strahlentherapie;;Punktezahl der Basis-GOP x Faktor 0,9;Prüfzeit der Basis-GOP x Faktor 0,9
13575I;Funktionsanalyse CRT ;K10;Leistungsberechnung (Nebeneinanderberechnung Abschnitte 4.4, 4.5, 13.3) durch Vertragsärzte, die Tätigkeit unter mehreren SP ausüben;;Punktezahl der Basis-GOP x Faktor 0,9;Prüfzeit der Basis-GOP x Faktor 0,9
13575J;Funktionsanalyse CRT ;K65;Leistungskennz. zur Funktionsanalyse von kardiologischen Aggregaten nach den GOP 04411, 04413, 04414, 04415, 04416, 13571, 13573, 13574, 13575, 13576 bei Versicherten, bei denen gleichzeitig eine Strahlentherapie durchgeführt wird;;;
13575K;Funktionsanalyse CRT ;K48;Leistungsberechnung (Nebeneinanderberechnung Abschnitte 4.4, 4.5, 13.3) durch Vertragsärzte, die Tätigkeit unter mehreren SP ausüben sowie Kennzeichung bei gleichzeitig durchgeführter Strahlentherapie;;Punktezahl der Basis-GOP x Faktor 0,9;Prüfzeit der Basis-GOP x Faktor 0,9
13576I;Telemedizinische Funktionsanalyse CRT ;K10;Leistungsberechnung (Nebeneinanderberechnung Abschnitte 4.4, 4.5, 13.3) durch Vertragsärzte, die Tätigkeit unter mehreren SP ausüben;;Punktezahl der Basis-GOP x Faktor 0,9;Prüfzeit der Basis-GOP x Faktor 0,9
13576J;Telemedizinische Funktionsanalyse CRT ;K65;Leistungskennz. zur Funktionsanalyse von kardiologischen Aggregaten nach den GOP 04411, 04413, 04414, 04415, 04416, 13571, 13573, 13574, 13575, 13576 bei Versicherten, bei denen gleichzeitig eine Strahlentherapie durchgeführt wird;;;
13576K;Telemedizinische Funktionsanalyse CRT ;K48;Leistungsberechnung (Nebeneinanderberechnung Abschnitte 4.4, 4.5, 13.3) durch Vertragsärzte, die Tätigkeit unter mehreren SP ausüben sowie Kennzeichung bei gleichzeitig durchgeführter Strahlentherapie;;Punktezahl der Basis-GOP x Faktor 0,9;Prüfzeit der Basis-GOP x Faktor 0,9
13577I;Zuschlag zu den GOP 13571, 13573 und 13575 ;K10;Leistungsberechnung (Nebeneinanderberechnung Abschnitte 4.4, 4.5, 13.3) durch Vertragsärzte, die Tätigkeit unter mehreren SP ausüben;;Punktezahl der Basis-GOP x Faktor 0,9;Prüfzeit der Basis-GOP x Faktor 0,9
13577J;Zuschlag zu den GOP 13571, 13573 und 13575 ;K65;Leistungskennz. zur Funktionsanalyse von kardiologischen Aggregaten nach den GOP 04411, 04413, 04414, 04415, 04416, 13571, 13573, 13574, 13575, 13576 bei Versicherten, bei denen gleichzeitig eine Strahlentherapie durchgeführt wird;;;
13577K;Zuschlag zu den GOP 13571, 13573 und 13575 ;K48;Leistungsberechnung (Nebeneinanderberechnung Abschnitte 4.4, 4.5, 13.3) durch Vertragsärzte, die Tätigkeit unter mehreren SP ausüben sowie Kennzeichung bei gleichzeitig durchgeführter Strahlentherapie;;Punktezahl der Basis-GOP x Faktor 0,9;Prüfzeit der Basis-GOP x Faktor 0,9
13578I;Indikationsstellung zur Überwachung eines Patienten im Rahmen des Telemonitoring bei Herzinsuffizienz ;K10;Leistungsberechnung (Nebeneinanderberechnung Abschnitte 4.4, 4.5, 13.3) durch Vertragsärzte, die Tätigkeit unter mehreren SP ausüben;;Punktezahl der Basis-GOP x Faktor 0,9;Prüfzeit der Basis-GOP x Faktor 0,9
13579I;Zusatzpauschale für die Betreuung eines Patienten im Rahmen des Telemonitoring bei Herzinsuffizienz ;K10;Leistungsberechnung (Nebeneinanderberechnung Abschnitte 4.4, 4.5, 13.3) durch Vertragsärzte, die Tätigkeit unter mehreren SP ausüben;;Punktezahl der Basis-GOP x Faktor 0,9;Prüfzeit der Basis-GOP x Faktor 0,9
13583I;Anleitung und Aufklärung durch ein Telemedizinzentrum zum Telemonitoring bei Herzinsuffizienz ;K10;Leistungsberechnung (Nebeneinanderberechnung Abschnitte 4.4, 4.5, 13.3) durch Vertragsärzte, die Tätigkeit unter mehreren SP ausüben;;Punktezahl der Basis-GOP x Faktor 0,9;Prüfzeit der Basis-GOP x Faktor 0,9
13584I;Telemonitoring bei Herzinsuffizienz mittels kardialem Aggregat ;K10;Leistungsberechnung (Nebeneinanderberechnung Abschnitte 4.4, 4.5, 13.3) durch Vertragsärzte, die Tätigkeit unter mehreren SP ausüben;;Punktezahl der Basis-GOP x Faktor 0,9;Prüfzeit der Basis-GOP x Faktor 0,9
13585I;Zuschlag zur GOP 13584 für das intensivierte Telemonitoring bei Herzinsuffizienz mittels kardialem Aggregat ;K10;Leistungsberechnung (Nebeneinanderberechnung Abschnitte 4.4, 4.5, 13.3) durch Vertragsärzte, die Tätigkeit unter mehreren SP ausüben;;Punktezahl der Basis-GOP x Faktor 0,9;Prüfzeit der Basis-GOP x Faktor 0,9
13586I;Telemonitoring bei Herzinsuffizienz mittels externen Messgeräten ;K10;Leistungsberechnung (Nebeneinanderberechnung Abschnitte 4.4, 4.5, 13.3) durch Vertragsärzte, die Tätigkeit unter mehreren SP ausüben;;Punktezahl der Basis-GOP x Faktor 0,9;Prüfzeit der Basis-GOP x Faktor 0,9
13587I;Zuschlag zur GOP 13586 für das intensivierte Telemonitoring bei Herzinsuffizienz mittels externen Messgeräten ;K10;Leistungsberechnung (Nebeneinanderberechnung Abschnitte 4.4, 4.5, 13.3) durch Vertragsärzte, die Tätigkeit unter mehreren SP ausüben;;Punktezahl der Basis-GOP x Faktor 0,9;Prüfzeit der Basis-GOP x Faktor 0,9
13590H;Grundpauschale bis 5. Lebensjahr ;K14;Leistungsberechnung für Auftragsleistungen entsprechend 2.1.6 der Allgemeinen Bestimmungen;50 % Abschlag gemäß Allgemeine Bestimmung 2.1.6 (Auftragsleistung ausschließl. zu Leist. Anhang 1);Punktezahl der Basis-GOP x Faktor 0,5;Prüfzeit der Basis-GOP x Faktor 0,5
13590R;Grundpauschale bis 5. Lebensjahr ;K16;Leistungsberechnung entsprechend 5.1 der Allgemeinen Bestimmungen für Berufsausübungsgemeinschaften oder Arztpraxen mit angestellten Ärzten;10 % Aufschlag von der jeweiligen Punktzahl;Punktezahl der Basis-GOP x Faktor 1,1;Prüfzeit der Basis-GOP x Faktor 1,1
13590S;Grundpauschale bis 5. Lebensjahr ;K79;Abschlag gemäß 4.3.1 der Allgemeinen Bestimmungen, wenn ausschließlich Arzt-Patienten-Kontakte im Rahmen einer Videosprechstunde stattfinden i.V.m. 5.1 der Allgemeinen Bestimmungen (BAG oder Arztpraxen mit angestellten Ärzten);;Punktezahl der Basis-GOP x Faktor 0,825;Prüfzeit der Basis-GOP x Faktor 0,83
13590V;Grundpauschale bis 5. Lebensjahr ;K78;Abschlag gemäß 4.3.1 der Allgemeinen Bestimmungen, wenn ausschließlich Arzt-Patienten-Kontakte im Rahmen einer Videosprechstunde stattfinden;;Punktezahl der Basis-GOP x Faktor 0,75;Prüfzeit der Basis-GOP x Faktor 0,75
13590W;Grundpauschale bis 5. Lebensjahr ;K17;Leistungsberechnung für Auftragsleistungen entsprechend 2.1.6 sowie Aufschlag entsprechend 5.1 der Allgemeinen Bestimmungen;50 % Abschlag gemäß der Allgemeinen Bestimmung 2.1.6 (Auftrag zur Durchführung von Leistungen aus Anhang 1) und 10 % Aufschlag gemäß Allgemeine Bestimmung 5.1;Punktezahl der Basis-GOP x Faktor 0,55;Prüfzeit der Basis-GOP x Faktor 0,55
13591H;Grundpauschale 6. - 59. Lebensjahr ;K14;Leistungsberechnung für Auftragsleistungen entsprechend 2.1.6 der Allgemeinen Bestimmungen;50 % Abschlag gemäß Allgemeine Bestimmung 2.1.6 (Auftragsleistung ausschließl. zu Leist. Anhang 1);Punktezahl der Basis-GOP x Faktor 0,5;Prüfzeit der Basis-GOP x Faktor 0,5
13591R;Grundpauschale 6. - 59. Lebensjahr ;K16;Leistungsberechnung entsprechend 5.1 der Allgemeinen Bestimmungen für Berufsausübungsgemeinschaften oder Arztpraxen mit angestellten Ärzten;10 % Aufschlag von der jeweiligen Punktzahl;Punktezahl der Basis-GOP x Faktor 1,1;Prüfzeit der Basis-GOP x Faktor 1,1
13591S;Grundpauschale 6. - 59. Lebensjahr ;K79;Abschlag gemäß 4.3.1 der Allgemeinen Bestimmungen, wenn ausschließlich Arzt-Patienten-Kontakte im Rahmen einer Videosprechstunde stattfinden i.V.m. 5.1 der Allgemeinen Bestimmungen (BAG oder Arztpraxen mit angestellten Ärzten);;Punktezahl der Basis-GOP x Faktor 0,825;Prüfzeit der Basis-GOP x Faktor 0,83
13591V;Grundpauschale 6. - 59. Lebensjahr ;K78;Abschlag gemäß 4.3.1 der Allgemeinen Bestimmungen, wenn ausschließlich Arzt-Patienten-Kontakte im Rahmen einer Videosprechstunde stattfinden;;Punktezahl der Basis-GOP x Faktor 0,75;Prüfzeit der Basis-GOP x Faktor 0,75
13591W;Grundpauschale 6. - 59. Lebensjahr ;K17;Leistungsberechnung für Auftragsleistungen entsprechend 2.1.6 sowie Aufschlag entsprechend 5.1 der Allgemeinen Bestimmungen;50 % Abschlag gemäß der Allgemeinen Bestimmung 2.1.6 (Auftrag zur Durchführung von Leistungen aus Anhang 1) und 10 % Aufschlag gemäß Allgemeine Bestimmung 5.1;Punktezahl der Basis-GOP x Faktor 0,55;Prüfzeit der Basis-GOP x Faktor 0,55
13592H;Grundpauschale ab 60. Lebensjahr ;K14;Leistungsberechnung für Auftragsleistungen entsprechend 2.1.6 der Allgemeinen Bestimmungen;50 % Abschlag gemäß Allgemeine Bestimmung 2.1.6 (Auftragsleistung ausschließl. zu Leist. Anhang 1);Punktezahl der Basis-GOP x Faktor 0,5;Prüfzeit der Basis-GOP x Faktor 0,5
13592R;Grundpauschale ab 60. Lebensjahr ;K16;Leistungsberechnung entsprechend 5.1 der Allgemeinen Bestimmungen für Berufsausübungsgemeinschaften oder Arztpraxen mit angestellten Ärzten;10 % Aufschlag von der jeweiligen Punktzahl;Punktezahl der Basis-GOP x Faktor 1,1;Prüfzeit der Basis-GOP x Faktor 1,1
13592S;Grundpauschale ab 60. Lebensjahr ;K79;Abschlag gemäß 4.3.1 der Allgemeinen Bestimmungen, wenn ausschließlich Arzt-Patienten-Kontakte im Rahmen einer Videosprechstunde stattfinden i.V.m. 5.1 der Allgemeinen Bestimmungen (BAG oder Arztpraxen mit angestellten Ärzten);;Punktezahl der Basis-GOP x Faktor 0,825;Prüfzeit der Basis-GOP x Faktor 0,83
13592V;Grundpauschale ab 60. Lebensjahr ;K78;Abschlag gemäß 4.3.1 der Allgemeinen Bestimmungen, wenn ausschließlich Arzt-Patienten-Kontakte im Rahmen einer Videosprechstunde stattfinden;;Punktezahl der Basis-GOP x Faktor 0,75;Prüfzeit der Basis-GOP x Faktor 0,75
13592W;Grundpauschale ab 60. Lebensjahr ;K17;Leistungsberechnung für Auftragsleistungen entsprechend 2.1.6 sowie Aufschlag entsprechend 5.1 der Allgemeinen Bestimmungen;50 % Abschlag gemäß der Allgemeinen Bestimmung 2.1.6 (Auftrag zur Durchführung von Leistungen aus Anhang 1) und 10 % Aufschlag gemäß Allgemeine Bestimmung 5.1;Punktezahl der Basis-GOP x Faktor 0,55;Prüfzeit der Basis-GOP x Faktor 0,55
13594V;Zuschlag für die nephrologisch-internistische Grundversorgung ;K78;Abschlag gemäß 4.3.1 der Allgemeinen Bestimmungen, wenn ausschließlich Arzt-Patienten-Kontakte im Rahmen einer Videosprechstunde stattfinden;;Punktezahl der Basis-GOP x Faktor 0,75;Prüfzeit der Basis-GOP x Faktor 0,75
13596V;Zuschlag zu der GOP 13594 ;K78;Abschlag gemäß 4.3.1 der Allgemeinen Bestimmungen, wenn ausschließlich Arzt-Patienten-Kontakte im Rahmen einer Videosprechstunde stattfinden;;Punktezahl der Basis-GOP x Faktor 0,75;Prüfzeit der Basis-GOP x Faktor 0,75
13598A;Zuschlag TSS-Terminvermittlung ;K77.1;Zuschlag in Höhe von 200% für TSS-Akutfall gemäß 4.3.10.2 der Allgemeinen Bestimmungen;;Punktezahl der Basis-GOP x Faktor 2,0;
13598B;Zuschlag TSS-Terminvermittlung oder Hausarztvermittlungsfall ;K77.2;Zuschlag in Höhe von 100% für TSS-Terminfall und/oder Hausarztvermittlungsfall vom gleichen bis 4. Kalendertag gemäß 4.3.10.1 oder 4.3.10.3 der Allgemeinen Bestimmungen;;;
13598C;Zuschlag TSS-Terminvermittlung oder Hausarztvermittlungsfall ;K77.3;Zuschlag in Höhe von 80% für TSS-Terminfall und/oder Hausarztvermittlungsfall vom 5. bis 14. Kalendertag gemäß 4.3.10.1 oder 4.3.10.3 der Allgemeinen Bestimmungen;;Punktezahl der Basis-GOP x Faktor 0,8;
13598D;Zuschlag TSS-Terminvermittlung oder Hausarztvermittlungsfall ;K77.4;Zuschlag in Höhe von 40% für TSS-Terminfall und/oder Hausarztvermittlungsfall vom 15. bis 35. Kalendertag gemäß 4.3.10.1 oder 4.3.10.3 der Allgemeinen Bestimmungen;;Punktezahl der Basis-GOP x Faktor 0,4;
13598E;Zuschlag TSS-Terminvermittlung ;K77.8;Zuschlag in Höhe von 200% für TSS-Akutfall gemäß 4.3.10.2 der Allgemeinen Bestimmungen i.V.m. Abschlag gemäß 4.3.1 der Allgemeinen Bestimmungen, wenn ausschließlich Arzt-Patienten-Kontakte im Rahmen einer Videosprechstunde stattfinden;;Punktezahl der Basis-GOP x Faktor 1,5;
13598F;Zuschlag TSS-Terminvermittlung oder Hausarztvermittlungsfall ;K77.9;Zuschlag in Höhe von 100% für TSS-Terminfall und/oder Hausarztvermittlungsfall vom gleichen bis 4. Kalendertag gemäß 4.3.10.1 oder 4.3.10.3 der Allgemeinen Bestimmungen i.V.m. Abschlag gemäß 4.3.1 der Allgemeinen Bestimmungen, wenn ausschließlich Arzt-Patienten-Kontakte im Rahmen einer Videosprechstunde stattfinden;;Punktezahl der Basis-GOP x Faktor 0,75;
13598G;Zuschlag TSS-Terminvermittlung oder Hausarztvermittlungsfall ;K77.10;Zuschlag in Höhe von 80% für TSS-Terminfall und/oder Hausarztvermittlungsfall vom 5. bis 14. Kalendertag gemäß 4.3.10.1 oder 4.3.10.3 der Allgemeinen Bestimmungen i.V.m. Abschlag gemäß 4.3.1 der Allgemeinen Bestimmungen, wenn ausschließlich Arzt-Patienten-Kontakte im Rahmen einer Videosprechstunde stattfinden;;Punktezahl der Basis-GOP x Faktor 0,6;
13598H;Zuschlag TSS-Terminvermittlung oder Hausarztvermittlungsfall ;K77.11;Zuschlag in Höhe von 40% für TSS-Terminfall und/oder Hausarztvermittlungsfall vom 15. bis 35. Kalendertag gemäß 4.3.10.1 oder 4.3.10.3 der Allgemeinen Bestimmungen i.V.m. Abschlag gemäß 4.3.1 der Allgemeinen Bestimmungen, wenn ausschließlich Arzt-Patienten-Kontakte im Rahmen einer Videosprechstunde stattfinden;;Punktezahl der Basis-GOP x Faktor 0,3;
13600I;Zusatzpauschale kontinuierliche Betreuung eines chronisch niereninsuffizienten Patienten ;K10;Leistungsberechnung (Nebeneinanderberechnung Abschnitte 4.4, 4.5, 13.3) durch Vertragsärzte, die Tätigkeit unter mehreren SP ausüben;;Punktezahl der Basis-GOP x Faktor 0,9;Prüfzeit der Basis-GOP x Faktor 0,9
13601I;Zusatzpauschale Behandlung eines Nieren- oder Nieren-Bauchspeicheldrüsen-Transplantatträgers ;K10;Leistungsberechnung (Nebeneinanderberechnung Abschnitte 4.4, 4.5, 13.3) durch Vertragsärzte, die Tätigkeit unter mehreren SP ausüben;;Punktezahl der Basis-GOP x Faktor 0,9;Prüfzeit der Basis-GOP x Faktor 0,9
13602I;Zusatzpauschale kontinuierliche Betreuung eines dialysepflichtigen Patienten ;K10;Leistungsberechnung (Nebeneinanderberechnung Abschnitte 4.4, 4.5, 13.3) durch Vertragsärzte, die Tätigkeit unter mehreren SP ausüben;;Punktezahl der Basis-GOP x Faktor 0,9;Prüfzeit der Basis-GOP x Faktor 0,9
13610I;Zusatzpauschale ärztliche Betreuung bei Hämodialyse, Peritonealdialyse und Sonderverfahren ;K10;Leistungsberechnung (Nebeneinanderberechnung Abschnitte 4.4, 4.5, 13.3) durch Vertragsärzte, die Tätigkeit unter mehreren SP ausüben;;Punktezahl der Basis-GOP x Faktor 0,9;Prüfzeit der Basis-GOP x Faktor 0,9
13611I;Zusatzpauschale ärztliche Betreuung bei Peritonealdialyse ;K10;Leistungsberechnung (Nebeneinanderberechnung Abschnitte 4.4, 4.5, 13.3) durch Vertragsärzte, die Tätigkeit unter mehreren SP ausüben;;Punktezahl der Basis-GOP x Faktor 0,9;Prüfzeit der Basis-GOP x Faktor 0,9
13612I;Zuschlag zu den GOP 13610 und 13611 für die Durchführung einer Trainingsdialyse ;K10;Leistungsberechnung (Nebeneinanderberechnung Abschnitte 4.4, 4.5, 13.3) durch Vertragsärzte, die Tätigkeit unter mehreren SP ausüben;;Punktezahl der Basis-GOP x Faktor 0,9;Prüfzeit der Basis-GOP x Faktor 0,9
13620I;Zusatzpauschale ärztliche Betreuung bei LDL-Apherese ;K10;Leistungsberechnung (Nebeneinanderberechnung Abschnitte 4.4, 4.5, 13.3) durch Vertragsärzte, die Tätigkeit unter mehreren SP ausüben;;Punktezahl der Basis-GOP x Faktor 0,9;Prüfzeit der Basis-GOP x Faktor 0,9
13621I;Zusatzpauschale ärztliche Betreuung bei Apherese bei rheumatoider Arthritis ;K10;Leistungsberechnung (Nebeneinanderberechnung Abschnitte 4.4, 4.5, 13.3) durch Vertragsärzte, die Tätigkeit unter mehreren SP ausüben;;Punktezahl der Basis-GOP x Faktor 0,9;Prüfzeit der Basis-GOP x Faktor 0,9
13622I;Zusatzpauschale ärztliche Betreuung bei LDL-Apherese ;K10;Leistungsberechnung (Nebeneinanderberechnung Abschnitte 4.4, 4.5, 13.3) durch Vertragsärzte, die Tätigkeit unter mehreren SP ausüben;;Punktezahl der Basis-GOP x Faktor 0,9;Prüfzeit der Basis-GOP x Faktor 0,9
13640H;Grundpauschale bis 5. Lebensjahr ;K14;Leistungsberechnung für Auftragsleistungen entsprechend 2.1.6 der Allgemeinen Bestimmungen;50 % Abschlag gemäß Allgemeine Bestimmung 2.1.6 (Auftragsleistung ausschließl. zu Leist. Anhang 1);Punktezahl der Basis-GOP x Faktor 0,5;Prüfzeit der Basis-GOP x Faktor 0,5
13640R;Grundpauschale bis 5. Lebensjahr ;K16;Leistungsberechnung entsprechend 5.1 der Allgemeinen Bestimmungen für Berufsausübungsgemeinschaften oder Arztpraxen mit angestellten Ärzten;10 % Aufschlag von der jeweiligen Punktzahl;Punktezahl der Basis-GOP x Faktor 1,1;Prüfzeit der Basis-GOP x Faktor 1,1
13640S;Grundpauschale bis 5. Lebensjahr ;K79;Abschlag gemäß 4.3.1 der Allgemeinen Bestimmungen, wenn ausschließlich Arzt-Patienten-Kontakte im Rahmen einer Videosprechstunde stattfinden i.V.m. 5.1 der Allgemeinen Bestimmungen (BAG oder Arztpraxen mit angestellten Ärzten);;Punktezahl der Basis-GOP x Faktor 0,825;Prüfzeit der Basis-GOP x Faktor 0,83
13640V;Grundpauschale bis 5. Lebensjahr ;K78;Abschlag gemäß 4.3.1 der Allgemeinen Bestimmungen, wenn ausschließlich Arzt-Patienten-Kontakte im Rahmen einer Videosprechstunde stattfinden;;Punktezahl der Basis-GOP x Faktor 0,75;Prüfzeit der Basis-GOP x Faktor 0,75
13640W;Grundpauschale bis 5. Lebensjahr ;K17;Leistungsberechnung für Auftragsleistungen entsprechend 2.1.6 sowie Aufschlag entsprechend 5.1 der Allgemeinen Bestimmungen;50 % Abschlag gemäß der Allgemeinen Bestimmung 2.1.6 (Auftrag zur Durchführung von Leistungen aus Anhang 1) und 10 % Aufschlag gemäß Allgemeine Bestimmung 5.1;Punktezahl der Basis-GOP x Faktor 0,55;Prüfzeit der Basis-GOP x Faktor 0,55
13641H;Grundpauschale 6. - 59. Lebensjahr ;K14;Leistungsberechnung für Auftragsleistungen entsprechend 2.1.6 der Allgemeinen Bestimmungen;50 % Abschlag gemäß Allgemeine Bestimmung 2.1.6 (Auftragsleistung ausschließl. zu Leist. Anhang 1);Punktezahl der Basis-GOP x Faktor 0,5;Prüfzeit der Basis-GOP x Faktor 0,5
13641R;Grundpauschale 6. - 59. Lebensjahr ;K16;Leistungsberechnung entsprechend 5.1 der Allgemeinen Bestimmungen für Berufsausübungsgemeinschaften oder Arztpraxen mit angestellten Ärzten;10 % Aufschlag von der jeweiligen Punktzahl;Punktezahl der Basis-GOP x Faktor 1,1;Prüfzeit der Basis-GOP x Faktor 1,1
13641S;Grundpauschale 6. - 59. Lebensjahr ;K79;Abschlag gemäß 4.3.1 der Allgemeinen Bestimmungen, wenn ausschließlich Arzt-Patienten-Kontakte im Rahmen einer Videosprechstunde stattfinden i.V.m. 5.1 der Allgemeinen Bestimmungen (BAG oder Arztpraxen mit angestellten Ärzten);;Punktezahl der Basis-GOP x Faktor 0,825;Prüfzeit der Basis-GOP x Faktor 0,83
13641V;Grundpauschale 6. - 59. Lebensjahr ;K78;Abschlag gemäß 4.3.1 der Allgemeinen Bestimmungen, wenn ausschließlich Arzt-Patienten-Kontakte im Rahmen einer Videosprechstunde stattfinden;;Punktezahl der Basis-GOP x Faktor 0,75;Prüfzeit der Basis-GOP x Faktor 0,75
13641W;Grundpauschale 6. - 59. Lebensjahr ;K17;Leistungsberechnung für Auftragsleistungen entsprechend 2.1.6 sowie Aufschlag entsprechend 5.1 der Allgemeinen Bestimmungen;50 % Abschlag gemäß der Allgemeinen Bestimmung 2.1.6 (Auftrag zur Durchführung von Leistungen aus Anhang 1) und 10 % Aufschlag gemäß Allgemeine Bestimmung 5.1;Punktezahl der Basis-GOP x Faktor 0,55;Prüfzeit der Basis-GOP x Faktor 0,55
13642H;Grundpauschale ab 60. Lebensjahr ;K14;Leistungsberechnung für Auftragsleistungen entsprechend 2.1.6 der Allgemeinen Bestimmungen;50 % Abschlag gemäß Allgemeine Bestimmung 2.1.6 (Auftragsleistung ausschließl. zu Leist. Anhang 1);Punktezahl der Basis-GOP x Faktor 0,5;Prüfzeit der Basis-GOP x Faktor 0,5
13642R;Grundpauschale ab 60. Lebensjahr ;K16;Leistungsberechnung entsprechend 5.1 der Allgemeinen Bestimmungen für Berufsausübungsgemeinschaften oder Arztpraxen mit angestellten Ärzten;10 % Aufschlag von der jeweiligen Punktzahl;Punktezahl der Basis-GOP x Faktor 1,1;Prüfzeit der Basis-GOP x Faktor 1,1
13642S;Grundpauschale ab 60. Lebensjahr ;K79;Abschlag gemäß 4.3.1 der Allgemeinen Bestimmungen, wenn ausschließlich Arzt-Patienten-Kontakte im Rahmen einer Videosprechstunde stattfinden i.V.m. 5.1 der Allgemeinen Bestimmungen (BAG oder Arztpraxen mit angestellten Ärzten);;Punktezahl der Basis-GOP x Faktor 0,825;Prüfzeit der Basis-GOP x Faktor 0,83
13642V;Grundpauschale ab 60. Lebensjahr ;K78;Abschlag gemäß 4.3.1 der Allgemeinen Bestimmungen, wenn ausschließlich Arzt-Patienten-Kontakte im Rahmen einer Videosprechstunde stattfinden;;Punktezahl der Basis-GOP x Faktor 0,75;Prüfzeit der Basis-GOP x Faktor 0,75
